year,match_id,minute_2_0,xg_at_event,is_home_lead,target_comeback
2019,11837,81,1.4911317033693194,1,0
2019,11846,40,0.4287752006202936,0,0
2019,11849,38,0.9493577862158418,0,0
2019,11852,48,1.1813948173075914,1,0
2019,11843,25,0.15069929510354996,1,0
2019,11848,57,0.5906385034322739,1,0
2019,11844,41,0.4558930993080139,1,0
2019,11847,63,1.593027101829648,1,0
2019,11858,37,0.7708442024886608,1,0
2019,11862,51,0.3312077969312668,1,0
2019,11857,64,1.0058039920404553,0,0
2019,11856,23,0.12129100318998098,0,0
2019,11870,34,0.8775654900819063,1,1
2019,11865,92,3.107152701355517,1,0
2019,11877,53,0.762670305557549,1,1
2019,11878,73,2.1224032985046506,1,0
2019,11882,47,0.6777824033051729,0,0
2019,11876,49,0.6462586978450418,1,0
2019,11879,55,1.2163336109369993,0,0
2019,11822,51,1.0255892369896173,0,0
2019,11883,43,1.103578300215304,1,0
2019,11887,59,1.625391830690205,1,0
2019,11891,41,0.4382448084652424,1,1
2019,11892,44,1.6023644097149372,1,0
2019,11890,70,3.0516992285847664,1,0
2019,11894,46,2.9490358866751194,0,0
2019,11893,56,1.7018843870609999,1,0
2019,11896,65,0.8085796944797039,0,0
2019,11898,61,1.620105399750173,1,0
2019,11906,47,0.9869985915720463,1,0
2019,11907,60,2.181641226634383,1,0
2019,11908,94,2.8133129086345434,1,0
2019,11910,57,0.9407158857211471,1,0
2019,11912,29,0.26626279950141907,1,0
2019,11921,59,1.1052624098956585,1,0
2019,11925,20,0.4700756948441267,1,0
2019,11932,95,2.0839192122220993,1,0
2019,11927,62,1.359873291105032,1,0
2019,11917,50,0.9890680192038417,1,0
2019,11937,53,1.0859245043247938,0,0
2019,11934,83,0.6832810174673796,0,0
2019,11942,22,0.127823400311172,0,0
2019,11938,68,1.5917341699823737,1,0
2019,11939,42,0.4933634027838707,1,0
2019,11950,43,0.9621085235849023,1,0
2019,11951,43,1.1198822790756822,1,0
2019,11952,86,1.6786712240427732,0,0
2019,11961,69,0.7200049981474876,0,0
2019,11956,28,0.21906019933521748,0,0
2019,11953,36,0.5019152825698256,1,0
2019,11955,29,0.4457567147910595,0,0
2019,11958,15,0.04805710166692734,1,0
2019,11960,68,0.5521256988868117,1,0
2019,11959,34,0.4785645045340061,1,0
2019,11965,76,1.025743005797267,1,0
2019,11972,85,1.3188032992184162,0,0
2019,11964,42,0.5420826943591237,1,0
2019,11966,88,0.5249415002763271,1,0
2019,11977,26,0.4185843477025628,0,0
2019,11979,20,0.2080048993229866,1,0
2019,11976,7,0.04902299866080284,0,0
2019,11974,49,1.4295615069568157,0,0
2019,11988,45,1.6746893022209406,0,0
2019,11989,32,0.22899390384554863,1,0
2019,11985,43,1.918129994533956,0,0
2019,11992,46,0.2931485064327717,1,0
2019,11983,58,1.0644714161753654,1,0
2019,11999,38,1.0105407033115625,1,0
2019,11998,78,3.2381691122427583,1,0
2019,11996,77,1.2914227051660419,0,0
2019,12001,9,0.0,1,0
2019,12004,97,2.415322215296328,0,0
2019,12010,39,1.0512668956071138,1,0
2019,12012,67,0.8777104094624519,1,0
2019,12011,39,1.0670008137822151,0,0
2019,12006,37,0.4538161866366863,1,0
2019,12014,23,0.7878916095942259,1,0
2019,12017,45,1.4099177066236734,1,0
2019,12018,97,1.051645912695676,0,0
2019,12021,48,0.3453195011243224,1,0
2020,14086,48,1.1638105139136314,0,0
2020,14091,86,1.4606083082035184,0,0
2020,14092,73,1.121857799589634,0,0
2020,14094,5,0.053645599633455276,0,0
2020,14098,73,1.5038168095052242,0,0
2020,14101,6,0.0,0,0
2020,14102,53,0.4320208951830864,0,0
2020,14105,31,0.18129810132086277,0,0
2020,14108,24,1.0169756226241589,1,1
2020,14113,56,1.8894615918397903,1,0
2020,14114,14,0.11505110189318657,0,0
2020,14467,65,0.6566306948661804,1,0
2020,14470,33,0.18949009757488966,0,0
2020,14473,68,0.7746324893087149,1,0
2020,14465,63,0.2245938964188099,1,0
2020,14466,21,1.0361694991588593,1,0
2020,14475,28,0.5409637000411749,1,1
2020,14481,85,2.478745451197028,0,0
2020,14483,7,0.25055400654673576,1,0
2020,14486,66,2.1457288889214396,0,0
2020,14489,63,1.6761092953383923,0,0
2020,14492,34,0.31473410222679377,1,0
2020,14504,26,0.30724799912422895,1,0
2020,14496,62,0.7162706032395363,0,0
2020,14495,32,0.36114619951695204,0,0
2020,14501,83,1.4808884719386697,1,0
2020,14497,29,0.15022310242056847,1,0
2020,14498,20,0.7485589981079102,0,0
2020,14512,81,0.8868889920413494,1,0
2020,14508,21,0.15687819570302963,1,0
2020,14505,74,2.1640311907976866,0,0
2020,14523,64,1.165575897321105,1,0
2020,14519,85,5.595152573660016,1,0
2020,14530,89,1.1864335043355823,0,0
2020,14533,21,0.1311690006405115,1,0
2020,14534,32,0.8834190154448152,1,1
2020,14532,37,0.8758614975959063,0,0
2020,14540,25,0.8200283963233232,1,0
2020,14542,45,0.2493839943781495,1,0
2020,14539,57,0.584640403278172,1,0
2020,14551,61,1.0353571055456996,1,0
2020,14553,40,1.5291734002530575,1,0
2020,14559,71,1.733814699575305,0,0
2020,14568,34,0.61191964475438,0,0
2020,14570,2,0.0,1,0
2020,14574,83,0.9477971754968166,0,0
2020,14566,50,0.6457717046141624,1,0
2020,14567,77,0.8471207115799189,1,0
2020,14576,65,3.1762495888397098,1,0
2020,14575,43,0.7290487010031939,1,0
2020,14581,54,1.1897153966128826,1,0
2020,14590,35,0.23838039580732584,0,0
2020,14599,42,1.4171512722969055,1,0
2020,14604,50,0.33814089745283127,1,0
2020,14600,27,0.5913080107420683,0,0
2020,14597,71,0.33381624473258853,0,0
2020,14603,20,0.5101933553814888,0,0
2020,14619,94,1.9039235040545464,1,0
2020,14622,39,0.6036905962973833,0,0
2020,14621,55,0.28987655276432633,1,0
2020,14615,59,1.0047853896394372,1,0
2020,14609,40,0.4803530089557171,1,0
2020,14089,89,3.482415921986103,1,0
2020,14535,41,0.2752546016126871,1,0
2020,14629,19,0.5822122097015381,0,0
2020,14644,92,2.597893620841205,0,0
2020,14637,83,1.2803737875074148,1,0
2020,14639,67,1.2327652806416154,0,0
2020,14651,24,0.1659356001764536,1,0
2020,14646,37,0.24718940258026123,0,0
2020,14647,43,0.7130660954862833,0,0
2020,14648,40,0.7104459851980209,0,0
2020,14645,55,0.6925712013617158,0,0
2020,14661,25,0.9085303843021393,1,0
2020,14660,44,0.41524410620331764,1,1
2020,14663,57,1.7538782097399235,1,0
2020,14662,57,0.7856338024139404,0,0
2020,14658,51,1.8956615962088108,1,0
2020,14668,9,0.32599399238824844,0,0
2020,14671,49,1.0389449978247285,1,0
2020,14665,40,0.805117292329669,1,0
2020,14669,64,1.0409456510096788,0,0
2020,14674,57,0.6662994958460331,1,0
2020,14667,38,1.115861794911325,1,0
2020,14680,82,2.107785180211067,0,0
2020,14683,46,1.0259677898138762,1,0
2020,14676,22,0.41576249711215496,0,0
2020,14608,77,2.2820496316999197,1,0
2020,14693,14,0.4738834984600544,1,0
2020,14701,48,1.0927578993141651,0,0
2020,14700,49,0.8069780897349119,0,0
2020,14704,27,1.0055990181863308,1,0
2020,14707,24,0.16725590080022812,0,0
2020,14708,55,0.6172706019133329,0,0
2020,14710,63,1.6335366815328598,1,0
2020,14715,50,0.663326196372509,1,0
2020,14724,16,0.14666900597512722,1,0
2020,14606,67,0.3671795018017292,0,0
2020,14730,73,1.01736269146204,0,0
